"TOA5","CR3000","CR3000","5928","CR3000.Std.21","CPU:ESTAÁ„OCECACR3000_22042016A.CR3","62556","Geral"
"TIMESTAMP","RECORD","Batt_Volt_Avg","chuva_Tot","VV_Avg","DV","Ta_Avg","Ta_Max","Ta_TMx","Ta_Min","Ta_TMn","UR","UR_Max","UR_TMx","UR_Min","UR_TMn","Patm_Avg","VW1_Avg","PA1_Avg","VW2_Avg","PA2_Avg","VW3_Avg","PA3_Avg","Tvigia_Avg","Tvigia_Max","Tvigia_TMx","Tvigia_Min","Tvigia_TMn","Ts1_Avg","Ts2_Avg","Ts3_Avg"
"TS","RN","Volts","mm","meters/second","Degrees","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","%","%","mmHg","","uSec","","uSec","","uSec","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Tot","Avg","Smp","Avg","Max","TMx","Min","TMn","Smp","Max","TMx","Min","TMn","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","TMx","Min","TMn","Avg","Avg","Avg"
"2017-04-01 00:00:00",49448,12.18,0,0.619,45.15,23.48,23.63,"2017-04-01 00:00:00",23.33,"2017-03-31 23:50:15",86.8,86.8,"2017-04-01 00:00:00",86.4,"2017-03-31 23:50:05",761.5,0.208,24.79,0.157,22.92,0.173,23.54,24.05,24.16,"2017-04-01 00:00:00",23.92,"2017-03-31 23:50:05",28.29,27.97,28.13
"2017-04-01 00:10:00",49449,12.18,0,0.821,11.71,23.68,23.79,"2017-04-01 00:08:35",23.55,"2017-04-01 00:00:05",86.4,86.8,"2017-04-01 00:00:15",86.4,"2017-04-01 00:09:25",761.4,0.208,24.79,0.157,22.92,0.173,23.54,24.22,24.32,"2017-04-01 00:08:00",24.17,"2017-04-01 00:00:05",28.25,27.94,28.12
"2017-04-01 00:20:00",49450,12.18,0,0.602,17.58,23.75,23.85,"2017-04-01 00:11:30",23.64,"2017-04-01 00:18:00",86.1,86.5,"2017-04-01 00:10:30",85.9,"2017-04-01 00:17:45",761.4,0.208,24.79,0.157,22.92,0.173,23.54,24.26,24.35,"2017-04-01 00:11:55",24.16,"2017-04-01 00:17:55",28.22,27.92,28.12
"2017-04-01 00:30:00",49451,12.17,0,1.037,11.82,23.65,23.77,"2017-04-01 00:20:45",23.56,"2017-04-01 00:29:05",86.2,86.3,"2017-04-01 00:29:25",86,"2017-04-01 00:25:05",761.3,0.208,24.79,0.157,22.92,0.173,23.54,24.17,24.26,"2017-04-01 00:20:40",24.12,"2017-04-01 00:27:55",28.18,27.89,28.11
"2017-04-01 00:40:00",49452,12.17,0,0.953,351.5,23.45,23.62,"2017-04-01 00:30:25",23.34,"2017-04-01 00:39:35",86.5,86.6,"2017-04-01 00:38:15",85.8,"2017-04-01 00:31:55",761.2,0.208,24.79,0.157,22.92,0.173,23.54,23.98,24.14,"2017-04-01 00:30:05",23.9,"2017-04-01 00:40:00",28.14,27.86,28.11
"2017-04-01 00:50:00",49453,12.17,0,0.261,351.3,23.17,23.4,"2017-04-01 00:40:10",23,"2017-04-01 00:49:05",86.8,86.8,"2017-04-01 00:50:00",86.2,"2017-04-01 00:42:40",761.1,0.208,24.79,0.157,22.92,0.173,23.54,23.67,23.9,"2017-04-01 00:40:05",23.54,"2017-04-01 00:46:35",28.1,27.83,28.1
"2017-04-01 01:00:00",49454,12.17,0,0.629,351.4,23.21,23.35,"2017-04-01 00:58:00",23.03,"2017-04-01 00:50:20",87.1,87.4,"2017-04-01 00:57:35",86.9,"2017-04-01 00:50:05",761,0.208,24.79,0.157,22.91,0.173,23.54,23.78,23.85,"2017-04-01 00:58:10",23.61,"2017-04-01 00:50:05",28.07,27.8,28.09
"2017-04-01 01:10:00",49455,12.17,0,0.02,350,23.11,23.28,"2017-04-01 01:00:35",22.94,"2017-04-01 01:09:40",87.1,87.1,"2017-04-01 01:09:30",87,"2017-04-01 01:05:00",760.9,0.208,24.79,0.157,22.91,0.173,23.54,23.58,23.77,"2017-04-01 01:00:05",23.46,"2017-04-01 01:09:55",28.03,27.77,28.08
